"نام کالا",نماد,تالار,"تولید کننده","نوع قرارداد","قیمت پایانی میانگین   موزون","ارزش معامله (هزارریال)","پایین ترین",بالاترین,"قیمت پایه عرضه","حجم عرضه",تقاضا,"حجم قرارداد",واحد,"تاریخ معامله","عرضه کننده",کارگزار,"نوع ارز"
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,671,000","76,710,000","7,671,000","7,671,000","7,671,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSB-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,945,000","79,450,000","7,945,000","7,945,000","7,945,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"شمش روی 99.97",ACR-ZIE1-00,"تالار صنعتی","آذر شیمی رازی",نقدی,,0,,,"861,628",50,0,0,تن,1401/12/07,"آذر شیمی رازی","ایساتیس پویا",ریال
"سولفور مولیبدن",NCI-OANMMSB-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,742,000","77,420,000","7,742,000","7,742,000","7,742,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,732,000","77,320,000","7,732,000","7,732,000","7,732,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"نخ پلی استر گرید D",PTC-POYDWP-00,"تالار پتروشیمی","پتروشیمی تندگویان",نقدی,"230,514","5,532,336","230,514","230,514","230,514",24,36,24,تن,1401/12/07,"پتروشیمی شهید تندگویان","بانک سامان",ریال
"سولفور مولیبدن",NCI-OANMMSB-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,844,000","78,440,000","7,844,000","7,844,000","7,844,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSB-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,908,000","79,080,000","7,908,000","7,908,000","7,908,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"شمش 1000p-99.85",IAC-AP0610A1-00,"تالار صنعتی","آلومینیوم ایران(ایرالکو)",نقدی,"1,318,654","1,582,384,300","1,303,169","1,328,960","742,643","1,200","3,375","1,200",تن,1401/12/07,"آلومینیوم ایران","بانک سپه",ریال
"سیمان تیپ2",NGC-CEMENT2B-00,"تالار سیمان","سیمان خاکستری نی ریز",نقدی,"9,503","90,431,588","9,420","9,899","6,337","9,516","16,328","9,516",تن,1401/12/08,"سیمان خاکستری نی ریز","اندیشه و بینش پیشرو",ریال
